,targ_cond,key_RT_mean,side_accuracy,color_accuracy
0,primary,0.6499754869615384,0.8571428571428571,1.0
1,similar,0.6509524434821429,0.8064516129032258,1.0
2,other,0.6762687275421684,0.8444444444444444,1.0
0,primary,0.66823841725,0.92,1.0
1,similar,0.7404994489152539,0.84375,0.96875
2,other,0.7805255756352943,0.8681318681318682,0.9340659340659341
0,primary,0.6480279219999999,0.84,1.0
1,similar,0.6989342656129028,0.8235294117647058,0.9705882352941176
2,other,0.7061940987594938,0.8160919540229885,0.9770114942528736
0,primary,0.6062993067307691,0.7931034482758621,1.0
1,similar,0.5941582881129036,0.9076923076923077,1.0
2,other,0.6528332422763157,0.7674418604651163,0.9069767441860465
0,primary,0.5930446301428571,0.8421052631578947,1.0
1,similar,0.6632837753235292,0.8888888888888888,0.9722222222222222
2,other,0.8158861718571426,1.0,1.0
